Plot_#,Trt_#,20_cm_VWC_%,Date,
9,Deluge,13.1,8/12/25,
10,Control,11.2,8/12/25,
11,Drought,13.4,8/12/25,
12,Drought-Deluge,18.7,8/12/25,
13,Drought-Deluge,11.7,8/12/25,
14,Drought,12.7,8/12/25,
15,Deluge,13.8,8/12/25,
16,Control,9.3,8/12/25,
17,Drought-Deluge,15.9,8/12/25,
18,Drought,12.2,8/12/25,
19,Control,14.9,8/12/25,
20,Deluge,14.7,8/12/25,
21,Drought,9.9,8/12/25,
22,Drought-Deluge,11.6,8/12/25,
23,Deluge,12.9,8/12/25,
24,Control,12.8,8/12/25,
25,Drought,10.6,8/12/25,
26,Drought-Deluge,11.2,8/12/25,
27,Control,11,8/12/25,
28,Deluge,9.9,8/12/25,
29,Drought-Deluge,22.4,8/12/25,
30,Drought,7.6,8/12/25,
31,Control,11.1,8/12/25,
32,Deluge,21.9,8/12/25,
33,Drought,10.9,8/12/25,
34,Drought-Deluge,14.8,8/12/25,
35,Deluge,8.6,8/12/25,
36,Control,9.3,8/12/25,
37,Deluge,13.4,8/12/25,
38,Control,10.9,8/12/25,
39,Drought-Deluge,14.1,8/12/25,
40,Drought,16.4,8/12/25,
1,Drought,10.1,8/18/25,
2,Drought-Deluge,9.1,8/18/25,
3,Control,12.8,8/18/25,
4,Deluge,11.6,8/18/25,
5,Deluge,17.9,8/18/25,
6,Control,15.2,8/18/25,
7,Drought,10.2,8/18/25,
8,Drought-Deluge,13.7,8/18/25,
9,Deluge,12.9,8/18/25,
10,Control,10.9,8/18/25,
11,Drought,11.1,8/18/25,
12,Drought-Deluge,14.2,8/18/25,
13,Drought-Deluge,11.6,8/18/25,
14,Drought,13,8/18/25,
15,Deluge,6.5,8/18/25,
16,Control,14.8,8/18/25,
17,Drought-Deluge,16.1,8/18/25,
18,Drought,11.9,8/18/25,
19,Control,12.9,8/18/25,
20,Deluge,11.6,8/18/25,
21,Drought,6,8/18/25,
22,Drought-Deluge,9.2,8/18/25,
23,Deluge,7.9,8/18/25,
24,Control,11.8,8/18/25,
25,Drought,6.2,8/18/25,
26,Drought-Deluge,9.2,8/18/25,
27,Control,11,8/18/25,
28,Deluge,10.7,8/18/25,
29,Drought-Deluge,,8/18/25,No data recorded on data sheet 
30,Drought,,8/18/25,No data recorded on data sheet 
31,Control,,8/18/25,No data recorded on data sheet 
32,Deluge,,8/18/25,No data recorded on data sheet 
33,Drought,,8/18/25,No data recorded on data sheet 
34,Drought-Deluge,,8/18/25,No data recorded on data sheet 
35,Deluge,,8/18/25,No data recorded on data sheet 
36,Control,,8/18/25,No data recorded on data sheet 
37,Deluge,,8/18/25,No data recorded on data sheet 
38,Control,,8/18/25,No data recorded on data sheet 
39,Drought-Deluge,,8/18/25,No data recorded on data sheet 
40,Drought,,8/18/25,No data recorded on data sheet 
1,Drought,7.2,8/25/25,
2,Drought-Deluge,9.1,8/25/25,
3,Control,14.3,8/25/25,
4,Deluge,16.2,8/25/25,
5,Deluge,13.9,8/25/25,
6,Control,15.1,8/25/25,
7,Drought,10.2,8/25/25,
8,Drought-Deluge,9.7,8/25/25,
9,Deluge,16.9,8/25/25,
10,Control,12.1,8/25/25,
11,Drought,8.3,8/25/25,
12,Drought-Deluge,7,8/25/25,
13,Drought-Deluge,6.1,8/25/25,
14,Drought,10.4,8/25/25,
15,Deluge,13.7,8/25/25,
16,Control,12.2,8/25/25,
17,Drought-Deluge,11.4,8/25/25,
18,Drought,13.1,8/25/25,
19,Control,9.9,8/25/25,
20,Deluge,16.4,8/25/25,
21,Drought,,8/25/25,No data recorded on data sheet 
22,Drought-Deluge,,8/25/25,No data recorded on data sheet 
23,Deluge,,8/25/25,No data recorded on data sheet 
24,Control,,8/25/25,No data recorded on data sheet 
25,Drought,,8/25/25,No data recorded on data sheet 
26,Drought-Deluge,,8/25/25,No data recorded on data sheet 
27,Control,,8/25/25,No data recorded on data sheet 
